Year,Month,Count,Type
2014,1,140,Plug-In Hybridautos
2014,1,541,Reine Elektroautos
2014,2,125,Plug-In Hybridautos
2014,2,481,Reine Elektroautos
2014,3,156,Plug-In Hybridautos
2014,3,823,Reine Elektroautos
2014,4,302,Plug-In Hybridautos
2014,4,599,Reine Elektroautos
2014,5,934,Reine Elektroautos
2014,5,535,Plug-In Hybridautos
2014,6,317,Plug-In Hybridautos
2014,6,810,Reine Elektroautos
2014,7,460,Plug-In Hybridautos
2014,7,597,Reine Elektroautos
2014,8,620,Plug-In Hybridautos
2014,8,515,Reine Elektroautos
2014,9,398,Plug-In Hybridautos
2014,9,747,Reine Elektroautos
2014,10,402,Plug-In Hybridautos
2014,10,841,Reine Elektroautos
2014,11,630,Reine Elektroautos
2014,11,514,Plug-In Hybridautos
2014,12,558,Plug-In Hybridautos
2014,12,1004,Reine Elektroautos
2015,1,593,Plug-In Hybridautos
2015,1,659,Reine Elektroautos
2015,2,686,Plug-In Hybridautos
2015,2,436,Reine Elektroautos
2015,3,886,Plug-In Hybridautos
2015,3,1278,Reine Elektroautos
2015,4,684,Reine Elektroautos
2015,4,1006,Plug-In Hybridautos
2015,5,1054,Plug-In Hybridautos
2015,5,574,Reine Elektroautos
2015,6,754,Plug-In Hybridautos
2015,6,1032,Reine Elektroautos
2015,7,944,Plug-In Hybridautos
2015,7,962,Reine Elektroautos
2015,8,831,Reine Elektroautos
2015,8,570,Plug-In Hybridautos
2015,9,929,Reine Elektroautos
2015,9,1038,Plug-In Hybridautos
2015,10,1031,Plug-In Hybridautos
2015,10,1686,Reine Elektroautos
2015,11,1372,Reine Elektroautos
2015,11,1823,Plug-In Hybridautos
2015,12,1256,Plug-In Hybridautos
2015,12,1920,Reine Elektroautos
2016,1,976,Plug-In Hybridautos
2016,1,477,Reine Elektroautos
2016,2,751,Reine Elektroautos
2016,2,1237,Plug-In Hybridautos
2016,3,1104,Reine Elektroautos
2016,3,1290,Plug-In Hybridautos
2016,4,964,Plug-In Hybridautos
2016,4,604,Reine Elektroautos
2016,5,588,Reine Elektroautos
2016,5,792,Plug-In Hybridautos
2016,6,865,Plug-In Hybridautos
2016,6,833,Reine Elektroautos
2016,7,1016,Plug-In Hybridautos
2016,7,785,Reine Elektroautos
2016,8,895,Reine Elektroautos
2016,8,836,Plug-In Hybridautos
2016,9,1641,Reine Elektroautos
